,Tweet,corpus
169,https://t.co/bCpeOD7fXt,http co bcpeod fxt
170,Baby ghel been knew,baby ghel knew
171,soy la de kosovo,soy la de kosovo
172,https://t.co/sRKjQ0BHS9,http co srkjq bh
173,Congratulations Miss USA!,congratulation miss usa
174,"Panalo na din tayo, mukhang Pinay, Fil-Am naman. Haha",panalo na din tayo mukhang pinay fil naman haha
175,"حصدت آر بوني غابرييل ، فلبينية أمريكية ملكة جمال ولاية تكساس مصممة وعارضة أزياء ومدربة حياكة من ولاية تكساس الأمريكية، لقب ملكة جمال الكون 2022  في نيو أورلينز بالولايات المتحدة الأمريكية
R'Bonney Gabriel",r bonney gabriel
176,❤️✨,
177,"Я не дуже люблю такі заходи, бо краса це повністю суб'єктивне сприйняття,тому не може бути критерієм для змагань.Але сучасні конкурси мають в собі дещо більше,хоч не в ідеалі і досі досить дискримінуючі в певній мірі,але наразі вони про культуру,про людяність і хист поза ""красою""",
178,Siento que compraron esa corona,siento que compraron esa corona
179,"Top story: @MissUniverse: 'The new Miss Universe is USA!!! #MISSUNIVERSE ' https://t.co/tYMBjsSz92, see more https://t.co/w0YHwQxO3M",top story missuniverse new miss universe usa missuniverse http co tymbjssz see http co w yhwqxo
180,"Los mensajes telepáticos de estas damas tan empáticas : "" ojalá te parta un rayo aquí mismo buena azarosa , esa corona es mía"".",los mensajes telep ticos de estas dama tan emp ticas ojal te parta un rayo aqu mismo buena azarosa esa corona e
181,"Horrible,nos sentimos robados,ya deben saberlo, porque Venezuela completa se siente robada .😡😡😡",horrible no sentimos robados ya deben saberlo porque venezuela completa se siente robada
182,Las veces que he denunciado esto hoy https://t.co/4AshFqyVou,la veces que denunciado esto hoy http co ashfqyvou
183,"Venezuela 🇻🇪 primera finalista en el Miss Universo. Ganó EEUU 🇺🇸.
Muchos coinciden en señalar que nos robaron…
https://t.co/FkX7PtrU34",venezuela primera finalista en el miss universo gan eeuu muchos coinciden en se alar que no robaron http co fkx ptru
184,A mí ya no me sorprende que se roben la corona,ya sorprende que se roben la corona
185,Competition wAs rigged????,competition rigged
186,Que falta de educación de la venezolana en no darle un abrazo de felicitación a la Miss universo,que falta de educaci n de la venezolana en darle un abrazo de felicitaci n la miss universo
187,Miss Dominican and Miss Venezuela??,miss dominican miss venezuela
188,Pinay ❤️,pinay
