,Tweet,corpus
2074,Putos gringos siempre compran todo,putos gringo siempre compran todo
2075,"Miss Universe 2022 is Miss USA ""R'Bonney Gabriel"" CONGRATULATIONS! 🇺🇸🥰👑",miss universe miss usa r bonney gabriel congratulation
2076,FRAUDE FRAUDE FRAUDE FRAUDE,fraude fraude fraude fraude
2077,pov: ves el robo más grande que hayas podido ver en tu vida,pov f el robo grande que hayas podido ver en tu vida
2078,desde que Colombia no paso ya sabíamos para donde iba está huevonada,desde que colombia paso ya sab amos para donde iba est huevonada
2079,"USA preguntandole a la ganadora xq noe scucho su nombre.
Que paja.
Amandita merecia corona.
Denle contrato alla por lo menos.",usa preguntandole la ganadora xq noe scucho su nombre que paja amandita merecia corona denle contrato alla por lo menos
2080,Naaaaaaa que rooobooo se lo merecía Venezuela o Dominicana 😱😱 vos @jotade84 que descaro otra Culpo...,naaaaaaa que rooobooo se lo merec venezuela dominicana vos jotade que descaro otra culpo
2081,FRAUDEEE,fraudeee
2082,dude i'm disappointed,dude disappointed
2083,El @MissUniverse es peor que el CNE del régimen chavista.,el missuniverse e peor que el cne del r gimen chavista
2084,"Congrats Miss Universe USA! 
#MissUniverse2022",congrats miss universe usa missuniverse
2085,"Muito emocionada, graças a Deus.🤭",muito emocionada gra deus
2086,"La bicha tipo ya va no escuché mal? Ay sí, soy yoo",la bicha tipo ya va escuch mal ay soy yoo
2087,EVERYONE BOOED,everyone booed
2088,"El miss universo es piqué,  Amanda es Shakira y Usa es Clara",el miss universo e piqu amanda e shakira usa e clara
2089,NETA!!??,neta
2090,เป็นปีที่งงทุกอย่างงงแล้วงงอีกงงอยู่นั่น,
2091,ROBOOOOOO,roboooooo
2092,"😮😔💪👌Cómo que mí latina no ganó? Bueno, eso no nos quita que somos las mejores en los certámenes de belleza! Y esa corona era para latinoamerica, Venezuela! Hermosa! 😠 😠😠",c mo que latina gan bueno eso no quita que somos la mejores en los cert menes de belleza esa corona era para latinoamerica venezuela hermosa
2093,robo,robo
2094,"Le robaron a Venezuela, as usual...",le robaron venezuela usual
2095,🤡🤡🤡👑,
2096,"SHE IS INDEED A TRANSFORMATIONAL WOMAN!

I hope @MissUniverse listens to her opinion on the increase of age limit.

I believe that here reign will be a remarkable one!!!",indeed transformational woman hope missuniverse listens opinion increase age limit believe reign remarkable one
2097,"coman triple mierda hijos de put, esa mujer ##### q",coman triple mierda hijos de put esa mujer q
2098,Venezuelaaa Venezuelaaa,venezuelaaa venezuelaaa
2099,Mamaguebos,mamaguebos
2100,ROBO. TRAMPA. ESTAFA😭,robo trampa estafa
2101,EL ROBO MAS GRANDE D TODOS Y RECIEN EMPIEZA EL AÑO,el robo ma grande todos recien empieza el
2102,ROBO,robo
2103,🙄🙄🙄🙄😒,
2104,Una vez más los gringos creen que son el único país del planeta,una vez los gringo creen que son el nico pa del planeta
2105,USA #Congratulations #USA #MissUniverse #MissUniverse2022 #MissUniverse2023,usa congratulation usa missuniverse missuniverse missuniverse
2106,"Miss USA did not win that crown fairly, we all know it was a fraud, Miss Venezuela is the winner",miss usa win crown fairly know fraud miss venezuela winner
2107,BAKA SABIHIN NA NAMAN NILA NA ALAM NA NIYANG SIYA MANANALO DAHIL SA REACTION NIYA GAHAHAHAHA 😭 lezzgo queen rbonney 💅,baka sabihin na naman nila na alam na niyang siya mananalo dahil sa reaction niya gahahahaha lezzgo queen rbonney
2108,Congrats to Miss USA on the win 👑,congrats miss usa win
2109,"Ladies and gents and all others, your new Miss Universe 👏",lady gent others new miss universe
2110,Pinoy parin nag uwi ng krona!!!!!!!!!! Congrast Miss USA!!!!!!,pinoy parin nag uwi ng krona congrast miss usa
2111,🇺🇸,
2112,congrats madam!!^^,congrats madam
2113,This is bullsh*t!!!,bullsh
2114,"My mom and I bet on top 16 through the winner....does this constitute a gambling problem? 😂 PS, I won",mom bet top winner constitute gambling problem p
2115,"Un robo mundial
Venezuela debió ganar

Sugiero Venezuela se retire de este certamen tramposo y condicionado
Ya ha pasado en varios años robándonos la mujer más bella del Universo",un robo mundial venezuela debi ganar sugiero venezuela se retire de este certamen tramposo condicionado ya ha pasado en varios o rob ndonos la mujer bella del universo
2116,Ok,ok
2117,"The representatives of the USA and VNZ focused their responses on fashion. The Dominican Republic expressed the empowerment of women, which is the message of the organization. But, you do it again by choosing your interests. The truth 🇩🇴",representative usa vnz focused response fashion dominican republic expressed empowerment woman message organization choosing interest truth
2118,At least. Half-pinay paren ang windra😅💯👑🇵🇭🇺🇸 #MissUniverse2022,least half pinay paren ang windra missuniverse
2119,https://t.co/4IlKWsYbAw,http co ilkwsybaw
2120,si digo algo me meten presa,si digo algo meten presa
2121,"MISS U SO MUCH AY JOKE, CONGRATS USA!!!!!",miss u much ay joke congrats usa
2122,"Que diferencia, Diosssssss",que diferencia diosssssss
2123,"Gracias, Kosovo tu reacción me representa.",gracias kosovo tu reacci n representa
2124,"No tears, and no reaction? After the cheating allegations back when she was crowned in Oct., this just doesn't seem real. 🙄",tear reaction cheating allegation back crowned oct seem real
2125,Más un año siendo ridículos,un siendo rid culos
2126,Ni los presidentes latinoamericanos roban tan descaradamente,ni los presidentes latinoamericanos roban tan descaradamente
2127,VENEZUELA IS OUR MISS UNIVERSE,venezuela miss universe
2128,"q robo, Venezuela era la ganadora",q robo venezuela era la ganadora
2129,"#14Ene La nueva Miss Universo es Miss USA. 

Venezuela es la primera finalista. 
AMANDA DUDAMEL APLAUSOS 👏🏻 DE PIE! 
https://t.co/jHyipFyyWo",ene la nueva miss universo e miss usa venezuela e la primera finalista amanda dudamel aplausos de pie http co jhyipfyywo
2130,VENEZUELAAAAAAA ERA LA VERDADERA GANADORAAAAAAAAA MAMAGUEVOOOOOOSSSSSSS,venezuelaaaaaaa era la verdadera ganadoraaaaaaaaa mamaguevoooooosssssss
2131,"No ganaron el concurso por belleza, sino de quién más puso plata!!",ganaron el concurso por belleza sino de qui n puso plata
2132,"NÃO ACREDITO HAHAHAHAHA que palhaçada, ainda bem que desliguei a tv logo depois do anúncio do top 16 #missuniverse #missuniverso",n acredito hahahahaha que palha ada ainda bem que desliguei tv logo depois ncio top missuniverse missuniverso
2133,"vamos fingir surpresa gente, uau",vamos fingir surpresa gente uau
2134,atleast half pinay pa rin ang panalo. WE WON BY HALF! CONGRATS MISS USA 🤍👏,atleast half pinay pa rin ang panalo half congrats miss usa
2135,Mood https://t.co/VdPwdc3EzV,mood http co vdpwdc ezv
2136,"puedo decirlo que venezuela lo merecía, incluso república dominicana, pero USA? que robo",puedo decirlo que venezuela lo merec incluso rep blica dominicana pero usa que robo
2137,"La jeva ni se lo podía creer, el robo más boleta de la historia de los robos #MissUniverse2022",la jeva ni se lo pod creer el robo boleta de la historia de los robos missuniverse
2138,ROBOOOOO 😾,robooooo
2139,https://t.co/jFfDomf2XD,http co jffdomf xd
2140,Y PARA CUÁNDO VUELVEN A DECIR QUÉ FUE UN ERROR Y VENEZUELA ERA LA VERDADERA GANADORA??!,para cu ndo vuelven decir qu fue un error venezuela era la verdadera ganadora
2141,NEFASTOS,nefastos
2142,Hoy verdaderamente ganaron las feas,hoy verdaderamente ganaron la feas
2143,No pero yo te digo a ti!,pero yo te digo ti
2144,GANABA VENEZUELA,ganaba venezuela
2145,"Hasta los mismos americanos les están cayendo a palos a los del certamen 😆🤣😆🤣

Era obvio que los jueces le iban a dar la corona a la de casa",hasta los mismos americanos le est n cayendo palos los del certamen era obvio que los jueces le iban dar la corona la de casa
2146,it's fine Filipino-American naman 'to e ehe.,fine filipino american naman e ehe
2147,Congratulations U💵S💵A,congratulation u
2148,THE DRAMA OF IT ALL,drama
2149,😹,
2150,"the most blatant robbery, if Dominican Republic had won it would still be a fair game, because of the great response they gave, but USA????, the response was not even half as good 💀",blatant robbery dominican republic would still fair game great response gave usa response even half good
2151,ay pinoy gihapon,ay pinoy gihapon
2152,"Meh. Amanda es la princesa Amanda de Venezuela para siempre. Hermosa. En mi mundo ella es miss universo 
y  punto.",meh amanda e la princesa amanda de venezuela para siempre hermosa en mi mundo ella e miss universo punto
2153,Entreguen la corona a su verdadera DUEÑA que es #Venezuela 🇻🇪😠,entreguen la corona su verdadera due que e venezuela
2154,Celebralo colombia!,celebralo colombia
2155,🇻🇪🇻🇪🇻🇪😞😡,
2156,"So unsa dayon ni 4.5 crown for the Philippines? Hehehe Gawas na mga #ProudPinoy bragger diha. 🙃 Di na mag-ampalaya pangsagpaon ta mog kamunggay ron!

Congrats, Miss USA! 👑 

#MissUniverse2022",unsa dayon ni crown philippine hehehe gawas na mga proudpinoy bragger diha di na mag ampalaya pangsagpaon ta mog kamunggay ron congrats miss usa missuniverse
2157,Congrats Miss USA!!!!,congrats miss usa
2158,"Miss Venezuela was much more beautiful, no doubt about it",miss venezuela much beautiful doubt
2159,ph still won lol,ph still lol
2160,"Miss USA is the New Miss Universe!!! 👑 Congratulations!!! 👏👏👏

Sending love from for your fellow filipinos 🫶 🇺🇲🇵🇭

#MissUniverse2022 
#MissUniversePhilippines2022",miss usa new miss universe congratulation sending love fellow filipino missuniverse missuniversephilippines
2161,deserve aaaa kagwapa 🫶,deserve aaaa kagwapa
2162,Same https://t.co/WDs0JjVUsB,http co wds jjvusb
2163,Yaelah kalo gini mah tetep bisa sombong mereka 🤣,yaelah kalo gini mah tetep bisa sombong mereka
2164,that is so mother of her,mother
2165,"Bueno, felicidades para ella. Ganó usando un vestido negrooo, que no es común en los concursos. Amo cuando marcan la diferencia.💞",bueno felicidades para ella gan usando un vestido negrooo que e com n en los concursos amo cuando marcan la diferencia
2166,"Mga nahirapan dalhin ang National Costume pero nanalo:
- Philippines, 2018
- USA, 2022
😭😭",mga nahirapan dalhin ang national costume pero nanalo philippine usa
2167,🔥🔥🔥,
2168,Bagay sa kanilng tatlo yung crown pero DESERVEEEEEE USAAAAA!!!!! U GO QUEEN 👑🇺🇲,bagay sa kanilng tatlo yung crown pero deserveeeeee usaaaaa u go queen
2169,Esto es un robo,esto e un robo
2170,🍅🍅🍅🍅🍅,
2171,"No lo esperaba, ni ella misma se lo cree.",lo esperaba ni ella misma se lo cree
2172,Que mierda. Eso era de Venrzuela,que mierda eso era de venrzuela
2173,"GALING NG PILIPINO IWAGAYWAY!
#MissUniverse2022

(also totoo talaga yung pag kamay ang nasa taas most of the time sila ang mananalo.) https://t.co/B7RxJGLlVj",galing ng pilipino iwagayway missuniverse also totoo talaga yung pag kamay ang nasa taas time sila ang mananalo http co b rxjgllvj
2174,Ojalá les salga preñada la semana que viene! #Robo,ojal le salga pre ada la semana que viene robo
2175,At the end of the day...pinay padin nanalo . USA!!!!!!,end day pinay padin nanalo usa
2176,Nos robaron 👑 🤬 que 💩,no robaron que
2177,มึงๆเออๆ,
2178,"Las viejas de atrás también se quedaron como, es en serio?",la viejas de atr tambi n se quedaron como e en serio
2179,"ROBO, ROBO",robo robo
2180,Les presento el robo mas grande del Universo… 🤯 https://t.co/LNo7BuWJCM,le presento el robo ma grande del universo http co lno buwjcm
2181,ROBO,robo
2182,Ahora en inglés: FUCK YOU YOU FUCKING CHEATERS,ahora en ingl fuck fucking cheater
2183,Que robo,que robo
2184,น้อตเซอร์ไพรส์ แต่ตอนตอบออร่าชีเยอะจริง https://t.co/hyEqqdoigb,http co hyeqqdoigb
2185,Binasta na ni Harnaaz yung pagcrown eh di man lang dinamdam,binasta na ni harnaaz yung pagcrown eh di man lang dinamdam
2186,JAJAJAJAJAJAJAJAJAJAJ QUE HIJOS DE RE MIL PUTA,jajajajajajajajajajaj que hijos de mil puta
2187,representative of the host country won LOL,representative host country lol
2188,Dasurv...,dasurv
2189,sin comentarios.,sin comentarios
2190,DESGRACIADOS,desgraciados
2191,"No ella se lo creía, ella estaba clara que ganaba Amanda!",ella se lo cre ella estaba clara que ganaba amanda
2192,🇺🇸🇵🇭,
2193,"hayyy still happy pa rin sa turn of events, power gihapon na batch!❤️‍🔥",hayyy still happy pa rin sa turn event power gihapon na batch
2194,Congretulesyen mbak usa ✨️,congretulesyen mbak usa
2195,No dan ni rabia.,dan ni rabia
2196,🔥🔥🔥,
2197,WE CHEERED,cheered
2198,"PINOY PA DIN ANG NANAIG
Congrats R'Bonny Gabriel, the 2022 Miss Universe. After the bashings and cheating allegations during Miss USA. Pinatunayan mo na kaya ng isang Biracial ang manalo!!! You brought the USA yet you also include you Pinoy touch through your customized outfits😭",pinoy pa din ang nanaig congrats r bonny gabriel miss universe bashings cheating allegation miss usa pinatunayan mo na kaya ng isang biracial ang manalo brought usa yet also include pinoy touch customized outfit
2199,#NosRobaronSinPistola #MissUniverse2022,nosrobaronsinpistola missuniverse
2200,"Congrats, Miss USA! 💖

#MissUniverse2022",congrats miss usa missuniverse
2201,No me disgusta pero realmente creí que este año era latina,disgusta pero realmente cre que este era latina
2202,"MATENSE, NO MERECIDO",matense merecido
2203,Deserve na deserve!,deserve na deserve
2204,Que robo más grande la vdd,que robo grande la vdd
2205,Venezuela deserved this crown!!,venezuela deserved crown
2206,"Sabi na eh Miss USA mananalo..
Hahahaha. 🤣🤣
#71stMissUniverse
#MissUniverse2022 
#LutoAngLaban",sabi na eh miss usa mananalo hahahaha stmissuniverse missuniverse lutoanglaban
2207,"FREEDOM!
🇺🇸🦅🌭",freedom
2208,ROBO,robo
2209,Deserve.. literal na buhat buhat niya yung buwan.. effort kung edfort si accla.congratulations.,deserve literal na buhat buhat niya yung buwan effort kung edfort si accla congratulation
2210,so pinoy pride pa din? 😅,pinoy pride pa din
2211,Congrats Miss USA #MissUniverse2023,congrats miss usa missuniverse
2212,AHHHHHH,ahhhhhh
2213,Oh edi parang nanalo na rin ang Philippines hahahaha,oh edi parang nanalo na rin ang philippine hahahaha
2214,Un completo robo,un completo robo
2215,#NOTMYMISSUNIVERSE,notmymissuniverse
2216,https://t.co/cf3mgYAUMt,http co cf mgyaumt
2217,🇺🇸❤️🇵🇭,
2218,Ni ella se lo creía,ni ella se lo cre
2219,kkkkkkkkkkkkkkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkk
2220,ROOBBBOOOOO!!!!!! MALDITO @3gerardpique si no hubieras engañado a shakira nada de esto habría pasado #MissUniverse,roobbbooooo maldito gerardpique si hubieras enga ado shakira nada de esto habr pasado missuniverse
2221,"Maravilhosa a USA, porém entre as duas a Venezuela gritava coroa",maravilhosa usa por entre duas venezuela gritava coroa
2222,"Nuevamente un Robo para con Venezuela, al negarle la Corona del Miss Universo 2022. Que Estafa elegir A Miss Usa y dejar por fuera  la Belleza de Amanda Dudamel. Feliz noche Jurado, el mega robo del 2023.",nuevamente un robo para con venezuela al negarle la corona del miss universo que estafa elegir miss usa dejar por fuera la belleza de amanda dudamel feliz noche jurado el mega robo del
2223,The crown fits perfectly on her head 😍,crown fit perfectly head
2224,Well deserved 👑,well deserved
2225,Deserve antehhh! 🥺🇺🇸💖,deserve antehhh
2226,"congratulations miss usa! out of everyone in the top 3, she had the best answer 🎉",congratulation miss usa everyone top best answer
2227,"YAY!!! 

#MissUniverse",yay missuniverse
2228,ya ni en mi país 'ta tan culero las elecciones cmo acá,ya ni en mi pa ta tan culero la elecciones cmo ac
2229,"Estados Unidos ganó por novena vez el certamen, el país suma nueve coronas en la historia de #MissUniverse.",estados unidos gan por novena vez el certamen el pa suma nueve corona en la historia de missuniverse
2230,Qué?,qu
2231,Metanse su mielda por el culo coñoj,metanse su mielda por el culo co oj
2232,MAMAGUEVOS,mamaguevos
2233,Tenía que meter la mano el poderío de #USA mil veces #MissVenezuela,ten que meter la mano el poder de usa mil veces missvenezuela
2234,q puto robo d mierda,q puto robo mierda
2235,UN MALDITO ROBO DESCARADOS ES QUE SON,un maldito robo descarados e que son
2236,venezuela merecía,venezuela merec
2237,...,
2238,"baka half pinay yan hahahaha congrats, usa ✨",baka half pinay yan hahahaha congrats usa
2239,Se hizo lo que se pudo 😢🇻🇪,se hizo lo que se pudo
2240,Más lambucios Amanda bella mibida,lambucios amanda bella mibida
2241,fraude robo nadie aplaudió todos abuchearon booooo,fraude robo nadie aplaudi todos abuchearon booooo
2242,"ibang pinay pala ang gusto eme pakyu bbm
#MissUniverse2022",ibang pinay pala ang gusto eme pakyu bbm missuniverse
2243,she's half-filipina &lt;3,half filipina lt
2244,El robo del siglo.,el robo del siglo
2245,zzzz con todo el afán de ofender,zzzz con todo el af n de ofender
2246,"La gran estafa
#MissUniverse2022 la cagada del año!!!",la gran estafa missuniverse la cagada del
2247,Cambiaron a un Rolex por un Casio. Just saying 💋,cambiaron un rolex por un casio saying
2248,FRAUDE,fraude
2249,"Guapísima la estadounidense. El vestido hermoso, el peinado top, el make up impecable, su elegancia, y su speech buenísimo. Queen",guap sima la estadounidense el vestido hermoso el peinado top el make impecable su elegancia su speech buen simo queen
2250,no merecido 🚫,merecido
2251,YESSSSS PUTANGINAAA,yes putanginaaa
2252,"Incomparable por favor, USA no tenía nivel para competir con Dudamel. Pongan a cualquier otra pero a esa Sra ganarle a la Vzla, horriblemente compuesto todo",incomparable por favor usa ten nivel para competir con dudamel pongan cualquier otra pero esa sra ganarle la vzla horriblemente compuesto todo
2253,QUE MIERDAAAAA... Segundo año consecutivo que eligen cualquier cosa!,que mierdaaaaa segundo consecutivo que eligen cualquier cosa
2254,Los comentarios https://t.co/n2bwAadocA,los comentarios http co n bwaadoca
2255,โอ้ยยย,
2256,#PinoyPride pa rin. May market gyapon sa Pinas ah.,pinoypride pa rin may market gyapon sa pinas ah
2257,"Como no se han podido robar el petróleo, nos roban esta corona",como se han podido robar el petr leo no roban esta corona
2258,Fraudeeeeeee,fraudeeeeeee
2259,ainda bem que não parei pra assistir isso! se EUA ganha eu já sei que é roubado.,ainda bem que n parei pra assistir isso se eua ganha eu j sei que roubado
2260,Binawi tayooo ni USA!🥺🇵🇭😭,binawi tayooo ni usa
2261,"El de las flores dijo ""sólo pa que me paguen"" JAJAJDJSJFJA",el de la flores dijo lo pa que paguen jajajdjsjfja
2262,"may dugong Pinoy naman okay na 'yan, congrats ulit R'Bonney!",may dugong pinoy naman okay na yan congrats ulit r bonney
2263,Congrats miss USA😘,congrats miss usa
2264,"Ok, I'll take USA🎉🎉🎉",ok take usa
2265,Q Robo Estafa total,q robo estafa total
2266,Las dos sin entender el resultado xD,la do sin entender el resultado xd
2267,ROUBOOOOOOOOOOOOOOOO EU NÃO POSSO ACREDITAR,rouboooooooooooooooo eu n posso acreditar
2268,Un completo ROBO 🤬,un completo robo
2269,She is so pretty but no way we really could have a Latinoamerican Brown women as the Miss Universe https://t.co/GIdUyD49ga,pretty way really could latinoamerican brown woman miss universe http co giduyd ga
2270,PHILIPPINES WON??? EME https://t.co/y3QNTd5Fok,philippine eme http co qntd fok
2271,Pinay beauty  padin nanaig!! #MissUniverse #MissUniverse2022 #MissUSA 🇺🇲🇵🇭,pinay beauty padin nanaig missuniverse missuniverse missusa
2272,Que manera de robar.,que manera de robar
2273,"comum da bola, tem uma específica aqui em jf que ganha fácil isso",comum da bola tem uma espec fica aqui em jf que ganha f cil isso
2274,👎🏻👎🏻👎🏻,
2275,"Abran las urnas, reconteo de votos",abran la urnas reconteo de votos
2276,me duermo en vivo,duermo en vivo
2277,Va pal' diablo 🤡,va pal diablo
2278,Congratulations @EHS_Knightswire alumnae R’Bonney Nola for winning  @MissUniverse @FortBendISD #MissUniverse https://t.co/mapIn8n6oU,congratulation ehs knightswire alumna r bonney nola winning missuniverse fortbendisd missuniverse http co mapin n ou
2279,ME QUIERO ARRANCAR EL CABELLO.,quiero arrancar el cabello
2280,Deserveeee,deserveeee
2281,ROBBED,robbed
2282,VENEZUELA WAS THE TRULY MISS UNIVERSE,venezuela truly miss universe
2283,"no me gustó, borra",gust borra
2284,https://t.co/QYZ9i7ccFf,http co qyz ccff
2285,Si son conscientes de que nos robaron esa mierda verdad?,si son conscientes de que no robaron esa mierda verdad
2286,"La organizacion es nueva... le tenia q hacer ganar si o si a Miss USA, ya que estaba en decadencia... Gracias tik tok x adelantarme😂 no se quien hackeo y se pudo ver😂",la organizacion e nueva le tenia q hacer ganar si si miss usa ya que estaba en decadencia gracias tik tok x adelantarme se quien hackeo se pudo ver
2287,https://t.co/jbvBmMlaxd,http co jbvbmmlaxd
2288,Que robo de mierdaaa,que robo de mierdaaa
2289,EL ROBO MAS GRANDE LA HISTORIA VAMOS A BOICOTEAR EL MISS UNIVERSO HIJOS DE PUTA LOS ODIO USA TE ODIO MAS QUE AYER PERO MENOS QUE MAÑANA,el robo ma grande la historia vamos boicotear el miss universo hijos de puta los odio usa te odio ma que ayer pero menos que ana
2290,Se quedo con la Luna en la cabeza o que 🤔👸🏼🥰,se quedo con la luna en la cabeza que
2291,"The new Miss Universe is USA!!! #MissUniverse2022 
La nueva Miss Universo es EE.UU!!!#MissUniverso2022 
https://t.co/5aWu6F57Ie",new miss universe usa missuniverse la nueva miss universo e ee uu missuniverso http co awu f ie
2292,https://t.co/FQrCSxACTt,http co fqrcsxactt
2293,CONGRATULATIONS!!!! MISS UNIVERSE 2022 🌌✨,congratulation miss universe
2294,the battle of the designers! i love them both but am so happy to see a fellow filipino-american girl MAKE IT,battle designer love happy see fellow filipino american girl make
2295,"Esto Duele, y Muchísimo 💔😭",esto duele much simo
2296,"TONGOOOOOOO !!! Cómo le va a ganar Miss USA a Miss Venezuela ??? Que tal roboooo a mano armada, madre mía esto es un escándaloooo 😱 Este certamen ya valióooo 🤣🤣🤣 #MissUniverse2022",tongooooooo c mo le va ganar miss usa miss venezuela que tal roboooo mano armada madre esto e un esc ndaloooo este certamen ya vali ooo missuniverse
2297,:/,
2298,Esta mina me representa https://t.co/j1udPHznhn,esta mina representa http co j udphznhn
2299,proud pinoy,proud pinoy
2300,hasta la coronación fue simplona xd,hasta la coronaci n fue simplona xd
2301,bat di ka kasi bumalik dito sa pinas e chz mi congrats malala!!! 👏🏼,bat di ka kasi bumalik dito sa pinas e chz mi congrats malala
2302,FWHANCE!!!,fwhance
2303,👏👏👏👏,
2304,??????,
2305,LABMWAHHHHHHHHH USA. NISUPORTA RABA KO NIMOG AG GIBASH KA PERO ANYWAYSSS DESERVEEEE🥰🫶🥺😭🥳😗😀🥦✨🙄♥️🤪😚😍,labmwahhhhhhhhh usa nisuporta raba ko nimog ag gibash ka pero anywaysss deserveeee
2306,"#MissUniverse2022 lo ganó la Miss USA. 
https://t.co/oWrnO4aDFT",missuniverse lo gan la miss usa http co owrno adft
2307,Makikisakay nanaman mga pinoy kasi half nga hahahhahah,makikisakay nanaman mga pinoy kasi half nga hahahhahah
2308,MMMMMM,mmmmmm
2309,........,
2310,proud pinoy moments🤩,proud pinoy moment
2311,VENEZUELA ERA LA FOKIN GANADORA,venezuela era la fokin ganadora
2312,Ni ella se cree que ganó,ni ella se cree que gan
2313,Don't say blowjobs Mary Jane,say blowjob mary jane
2314,congrats ghurl! da who na yung mga inggiterang froglets hahaha,congrats ghurl da na yung mga inggiterang froglets hahaha
2315,Váyanse a la verga,v yanse la verga
2316,RATIO,ratio
2317,Mamense un guevo. Fraudes de mierda.,mamense un guevo fraudes de mierda
2318,Ninguna sabía quién había ganado.,ninguna sab qui n hab ganado
2319,Should have been Venezuela 🇻🇪!!! #MissUniverse2023,venezuela missuniverse
2320,"Felicidades, por seguir demostrando que apesar de cambiar de dueño y administración, el poder adquisitivo vale más que cualquier cosa",felicidades por seguir demostrando que apesar de cambiar de due administraci n el poder adquisitivo vale que cualquier cosa
2321,"Che les doy la razón, no es muy linda la de usa para ganarle a la de Venezuela, pero bueno, estamos hablando de la mierda del miss universo",che le doy la raz n e muy linda la de usa para ganarle la de venezuela pero bueno estamos hablando de la mierda del miss universo
2322,แกก็บูดเกิน #MissUniverse2022 #MissUniverse https://t.co/RRDGfSE0ND,missuniverse missuniverse http co rrdgfse nd
2323,"Mmm, esa corona no salía de Rep. Dominicana y Venezuela. No sé ni como llegó ahí USA. Me siento estafada.",mmm esa corona sal de rep dominicana venezuela ni como lleg ah usa siento estafada
2324,ROBOOOOOO,roboooooo
2325,Fraude,fraude
2326,https://t.co/kxPmPbrRqZ,http co kxpmpbrrqz
2327,"USA does not deserve that crown...

Todo mal de verdad 😒",usa deserve crown todo mal de verdad
2328,SLAY PADIN USA OMG,slay padin usa omg
2329,literally the one that shouldn't even have made it into the top 16,literally one even made top
2330,YEHEY ATLEAST MAY DUGONG PINOY! 🥳,yehey atleast may dugong pinoy
2331,Shuta deserve,shuta deserve
2332,"She paused a sec: mga bakla totoo ba? baka ma miss columbia ako wawagwagin ko kayo 
HHAHAHHAHA 
#MissUniverse2022",paused sec mga bakla totoo ba baka miss columbia ako wawagwagin ko kayo hhahahhaha missuniverse
2333,Natawa ako sa parang di nila masyado narinig ang announcement ng nanalo haha,natawa ako sa parang di nila masyado narinig ang announcement ng nanalo haha
2334,period,period
2335,For some reason this is black swan in miss universe,reason black swan miss universe
2336,"Hindi tayo nalugi guys, pinoy pride😊🇵🇭🇺🇲 #MissUniverse2022",hindi tayo nalugi guy pinoy pride missuniverse
2337,Ibang country man ang nirerepresent hindi mawawala na may Filipino Blood pa rin si Miss USA!!! 🤪 ems,ibang country man ang nirerepresent hindi mawawala na may filipino blood pa rin si miss usa em
2338,😯,
2339,Que Amanda tome el interinato de esa corona,que amanda tome el interinato de esa corona
2340,ESTA MIERDA ESTABA COMPRADA.,esta mierda estaba comprada
2341,Que estafa.,que estafa
2342,Robadosss,robadosss
2343,Cotado demais. Venezuela merecia muito.,cotado demais venezuela merecia muito
2344,🎊🇺🇲🎊,
2345,Malditos mamaguevo 🤬🤬,malditos mamaguevo
2346,Ahí lavaron guita. 🤨😒,ah lavaron guita
2347,soy los comentarios,soy los comentarios
2348,Tremenda estafa,tremenda estafa
2349,BUUUUUUU!!!!,buuuuuuu
2350,DASURVVVVV!!,dasurvvvvv
2351,"I approve of this! Despite all she's faced as Miss USA, R'bonney focused on her goal and showed up from the moment she stepped foot in NOLA. What a journey 👑",approve despite faced miss usa r bonney focused goal showed moment stepped foot nola journey
2352,Congrats 🎉👏,congrats
2353,DAZURB!!!,dazurb
2354,Es tener a una verdadera miss universo al frente y no verla. shock total,e tener una verdadera miss universo al frente verla shock total
2355,still a win for us 🥳,still win u
2356,Mi amor pero ni respeto el tiempo de respuesta https://t.co/69JFEgx7Wa,mi amor pero ni respeto el tiempo de respuesta http co jfegx wa
2357,😐,
2358,hasta la propia mis usa no lo podía creer,hasta la propia mi usa lo pod creer
2359,FRAUD,fraud
2360,Lol di man lang hinug ni Venezuela si USA 🤣🤣🤣,lol di man lang hinug ni venezuela si usa
2361,CONGRATULATIONS OMFGGGGGG,congratulation omfgggggg
2362,"Congratulations, Miss USA!  #MissUniverse2022 #MissUniverse",congratulation miss usa missuniverse missuniverse
2363,Le robaron la 👑 corona a Venezuela,le robaron la corona venezuela
2364,Congratulations R'Bonney Gabriel! #MissUniverse2022! @MissUniverse 🇺🇸🇵🇭,congratulation r bonney gabriel missuniverse missuniverse
2365,LADRONEEEEEEEEEEEEEEEEEEES,ladroneeeeeeeeeeeeeeeeeees
2366,"Yung crown tlga always matchy matchy sa gown ng winner... 
Congrats USA

#MissUniverse2022",yung crown tlga always matchy matchy sa gown ng winner congrats usa missuniverse
2367,Por estas razones es que el planeta está hecho una 💩..  ni siquiera disimularon ..pero bueno es un concurso estúpido.,por estas razones e que el planeta est hecho una ni siquiera disimularon pero bueno e un concurso est pido
2368,Delete filhos da puta,delete filhos da puta
2369,"paanong di mananalo si USA, kita niyong nasa ulo niya yung mundo",paanong di mananalo si usa kita niyong nasa ulo niya yung mundo
2370,Que viva el capitalismo😹😹😹😹,que viva el capitalismo
2371,DASURRRRRB,dasurrrrrb
